iso3c,fabio_area_code,fabio_item_code,fabio_item,year,total_product_output,price,va_source,fao_status,gap_cause,isic,file
AFG,2,2586,"Oilcrops Oil, Other",2010,0,,EXIOBASE,reported,no_quantity,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2586,"Oilcrops Oil, Other",2010,0,,GLORIA,reported,no_quantity,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2570,"Oilcrops, Other",2016,0,470.8,EXIOBASE,reported,no_quantity,A,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-A.rds
AFG,2,2570,"Oilcrops, Other",2016,0,470.8,GLORIA,reported,no_quantity,A,FABIOv2_COMBINED_GLORIA_value_added_ISIC-A.rds
AFG,2,2611,"Oranges, Mandarines",2010,2000,1164.71124541074,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2611,"Oranges, Mandarines",2010,2000,1164.71124541074,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2611,"Oranges, Mandarines",2011,5999,1281.02691443358,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2611,"Oranges, Mandarines",2011,5999,1281.02691443358,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2611,"Oranges, Mandarines",2012,6000,1193.04487212675,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2611,"Oranges, Mandarines",2012,6000,1193.04487212675,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2611,"Oranges, Mandarines",2013,6319,1059.5899251039,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2611,"Oranges, Mandarines",2013,6319,1059.5899251039,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2611,"Oranges, Mandarines",2014,6926,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2611,"Oranges, Mandarines",2014,6926,,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2611,"Oranges, Mandarines",2015,4910,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2611,"Oranges, Mandarines",2015,4910,,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2611,"Oranges, Mandarines",2016,5260,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2611,"Oranges, Mandarines",2016,5260,,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2611,"Oranges, Mandarines",2017,4634,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2611,"Oranges, Mandarines",2017,4634,,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2611,"Oranges, Mandarines",2018,5856,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2611,"Oranges, Mandarines",2018,5856,,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2611,"Oranges, Mandarines",2019,5977,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2611,"Oranges, Mandarines",2019,5977,,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2611,"Oranges, Mandarines",2020,2994,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2611,"Oranges, Mandarines",2020,2994,,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2611,"Oranges, Mandarines",2021,12683,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2611,"Oranges, Mandarines",2021,12683,,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2611,"Oranges, Mandarines",2022,11166,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2611,"Oranges, Mandarines",2022,11166,,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2611,"Oranges, Mandarines",2023,8269,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2611,"Oranges, Mandarines",2023,8269,,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2531,Potatoes and products,2010,245191,163.608124013064,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2531,Potatoes and products,2010,245191,163.608124013064,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2531,Potatoes and products,2011,203914,166.855599472429,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2531,Potatoes and products,2011,203914,166.855599472429,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2531,Potatoes and products,2012,229054,153.177249643568,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2531,Potatoes and products,2012,229054,153.177249643568,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2531,Potatoes and products,2013,302017,181.456517221197,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2531,Potatoes and products,2013,302017,181.456517221197,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2531,Potatoes and products,2014,339580,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2531,Potatoes and products,2014,339580,,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2531,Potatoes and products,2015,326727,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2531,Potatoes and products,2015,326727,,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2531,Potatoes and products,2016,427586,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2531,Potatoes and products,2016,427586,,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2531,Potatoes and products,2017,511853,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2531,Potatoes and products,2017,511853,,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2531,Potatoes and products,2018,615430,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2531,Potatoes and products,2018,615430,,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2531,Potatoes and products,2019,921123,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2531,Potatoes and products,2019,921123,,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2531,Potatoes and products,2020,855337,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2531,Potatoes and products,2020,855337,,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
